"",""
"","Retail Price Information"
"","","DATE","6/6/2026"
"","","TIME","5:24:21"
""," S.No"," Medicines"," Formulations"," Manufacturer Name"," Marketing  Company"," Units"," Retail Prices (Rs.)(Exclusive Local Taxes/GST)"," SO NO"," SO Date"
"","969","Clobazam +
Methylparaben +
Propylparaben Injection","Each ML contains:
Clobazam IP 2.5mg,
Methylparaben IP (As Preservative) 1.3mg
Propylparaben IP   (As Preservative) 0.3mg","M/s Intas Pharmaceutical Limited","M/s Intas Pharmaceutical Limited","1 ML","2.54","1030(E)","26-Feb-19"
"","970","Diclofenac +
Chlorzoxazone Tablet  (MYOSPAS-F )","Contains:
Diclofenac Potassium BP 50mg
Chlorzoxazone USP 500mg","M/s G. S. Pharmbutor Pvt. Ltd.","M/s Win-Medicare Pvt. Ltd…","1 Tablet","9.28","1030(E)","26-Feb-19"
"","971","Melzap ODS 0.5 Orally disintegrating Strips","Each Orally disintegrating Strips contains:
Clonazepam IP 0.5mg","M/s ZIM Laboratories Limited","M/s Alkem Laboratories Ltd.","1 Orally disintegrating Strips","5.33","1030(E)","26-Feb-19"
"","972","Melzap ODS 1 Orally disintegrating Strips","Each Orally disintegrating Strips contains:
Clonazepam IP 1mg","M/s ZIM Laboratories Limited","M/s Alkem Laboratories Ltd.","1 Orally disintegrating Strips","7.25","1030(E)","26-Feb-19"
"","973","Melzap ODS 2 Orally disintegrating Strips","Each Orally disintegrating Strips contains:
Clonazepam IP 2mg","M/s ZIM Laboratories Limited","M/s Alkem Laboratories Ltd.","1 Orally disintegrating Strips","13.05","1030(E)","26-Feb-19"
"","974","Alpha Lipoic Acid + Methylcobalamin + Vitamin B6 IP + Folic Acid IP + Benfotiamine + Biotin USP + Chromium Picolinate Capsule (Jubinerv)","Each hard gelatine capsule contains:
Alpha Lipoic Acid USP 100mg, Methylcobalamin 1500mcg, Vitamin B6 IP 3mg, Folic Acid IP 1.5mg, Benfotiamine 50mg, Biotin USP 5mg, Chromium Picolinate USP eq. to Chromium 200mcg","M/s Theon Pharmaceutical Ltd.","M/s Jubilant Life Sciences Limited","1 Capsule","11.34","1395(E)","19-Mar-19"
"","975","Alpha Lipoic Acid + Methylcobalamin +
Vitamin B6 + Folic Acid + Benfotiamine +
Biotin Capsule","Each hard gelatine capsule contains:
Alpha Lipoic Acid USP 200mg, Methylcobalamin 1500mcg, Vitamin B6 IP 3mg, Folic Acid IP 1.5mg, Benfotiamine 50mg, Biotin USP 5mg,","M/s KonTest Chemicals Limited","M/s KonTest Chemicals Limited","1 Capsule","11.51","1395(E)","19-Mar-19"
"","976","Sodium Fusidate +
Halobetasole  Cream","Cream contains:
Sodium Fusidate IP eq. to Fusidic Acid 2% w/w,
Halobetasole Propionate USP 0.05% w/w","M/s Apex Laboratories Private Limited","M/s Apex Laboratories Private Limited","1 gm","12.92","1489(E)","29-Mar-19"
"","977","Metformin + Glimepiride Tablet (Azulix 0.5 MF)","Each Uncoated Bilayered Tablet contains:
Glimepiride IP 0.5mg,
Metformin Hydrochloride IP 500mg (As Prolonged Release Form)","M/s Pure and Cure Healthcare Pvt. Ltd.","M/s Torrent Pharmaceuticals Limited","1 Tablet","3.58","1489(E)","29-Mar-19"
"","978","Escitalopram + Clonazepam Tablet  (Newcita Mini)","Each film coated tablet contains:
Escitalopram Oxalate IP eq. to Escitalopram 5mg,
Clonazepam IP 0.5mg","M/s Ravian Life Science Pvt. Ltd.","M/s Alkem Laboratories Ltd.","1 Tablet","6.1","1489(E)","29-Mar-19"
"","979","Ceftriaxone +
Sulbactum Injection (Taxone SB 1000mg )","Each vial contains:
Ceftriaxone Sodium IP eq. to Ceftriaxone 1gm
Sulbactum Sodium USP eq. to Sulbactum 500mg","M/s Mapra Laboratories Pvt. Ltd.","M/s Mapra Laboratories Pvt. Ltd.","1 vial","20.27","1489(E)","29-Mar-19"
"","980","Ceftriaxone +
Sulbactum Injection (Taxone SB 250mg )","Each vial contains:
Ceftriaxone Sodium IP eq. to Ceftriaxone 250gm
Sulbactum Sodium USP eq. to Sulbactum 125mg","M/s Mapra Laboratories Pvt. Ltd.","M/s Mapra Laboratories Pvt. Ltd.","1 vial","55.29","1489(E)","29-Mar-19"
"","981","Ceftriaxone +
Sulbactum Injection (Taxone SB 500mg )","Each vial contains:
Ceftriaxone Sodium IP eq. to Ceftriaxone 500gm
Sulbactum Sodium USP eq. to Sulbactum 250mg","M/s Mapra Laboratories Pvt. Ltd.","M/s Mapra Laboratories Pvt. Ltd.","1 vial","34.81","1489(E)","29-Mar-19"
"","982","Hyaluronic Acid + Lidocain Hydrochloride Injection","Each ml contains:
Hyaluronic Acid BP 24.0mg
Lidocain Hydrochloride IP 3.00mg","M/s Virchow Biotech Limited.","M/s Zydus Healthcare Limited","Per Pack having 2 prefilled syringe of 1 ML Each","26987.4","1489(E)","29-Mar-19"
"","983","Emtricitabine + Tenofovir Alafenamide tablet (Tafmune – EM)","Each film coated tablet contains:
Emtricitabine IP 200 mg
Tenofovir Alafenamide Hemifumarate eq. to Tenofovir Alafenamide 25 mg","M/s Hetero Labs Ltd.","M/s Cipla Ltd.","1 Tablet","55.33","1489(E)","29-Mar-19"
"","984","Tenofovir Alafenamide + Emtricitabine Tablet (TAFICITA)","Each film coated contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg
Emtricitabine 200mg","M/s Mylan Laboratories Ltd.","M/s Mylan Pharmaceuticals Pvt. Ltd.","1 Tablet","55.33","1489(E)","29-Mar-19"
"","985","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/s Mylan Laboratories Ltd.","M/s Mylan Pharmaceuticals Pvt. Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","986","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide Hemifumarate eq. to Tenofovir Alafenamide 25 mg","M/s Hetero Labs Ltd.","M/s Cipla Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","987","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide Hemifumarate eq. to Tenofovir Alafenamide 25 mg","M/s Hetero Labs Ltd.","M/s Cadila Healthcare Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","988","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide Hemifumarate eq. to Tenofovir Alafenamide 25 mg","M/s Hetero Labs Ltd.","M/s Emcure Pharmaceuticals Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","989","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/ Natco Pharma Ltd.","M/s  Sun Pharma Laboratories Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","990","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/ Natco Pharma Ltd.","M/s Abbott India Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","991","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/ Natco Pharma Ltd.","M/ Natco Pharma Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","992","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/ Natco Pharma Ltd.","M/s Cadila Healthcare Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","993","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/ Natco Pharma Ltd.","M/s  Dr. Reddy’s Laboratories Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","994","Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Tenofovir Alafenamide fumarate eq. to Tenofovir Alafenamide 25 mg","M/ Natco Pharma Ltd.","M/s  Aprazer Healthcare Pvt. Ltd.","1 Tablet","44.29","1489(E)","29-Mar-19"
"","995","Emtricitabine + Tenofovir Alafenamide Tablet","Each film coated tablet contains:
Emtricitabine IP 200mg,
Tenofovir Alafenamide Hemifumarate eq. to Tenofovir Alafenamide 10mg","M/s Hetero Labs Limited","M/s Cipla Limited","1 Tablet","31.17","1489(E)","29-Mar-19"
"","996","Mesalazine Sachet","Each sachet contains:
Mesalazine IP 2gm (As Coated Granules)","M/s Sun Pharma Laboratories Limited","M/s Sun Pharma Laboratories Limited","2gm Sachet","86.78","1690(E)","02-May-19"
"","997","Mesalazine Sachet","Each sachet contains:
Mesalazine IP 1gm (As Coated Granules)","M/s Sun Pharma Laboratories Limited","M/s Sun Pharma Laboratories Limited","1gm Sachet","43.28","1690(E)","02-May-19"
"","998","Clotrimazole +  Beclomethasone + Neomycin Cream","Cream contains:
Clotrimazole 1.0% w/w 
Beclomethasone Dipropionate 0.025% w/w Neomycin Sulphate eq. to Neomycin 0.5%w/w Cream","M/s Helios Pharmaceuticals","M/s Emcure Pharmaceuticals Limited","1 gm","5.34","1690(E)","02-May-19"
"","999","Telmisartan +
Cilnidipine +
Chlorthalidone Tablet","Each film coated bilayered tablet contains:
Telmisartan IP 40mg,
Cilnidipine 10mg,
Chlorthalidone IP 6.25mg","M/s Swiss Garnier Genexiaa Sciences","M/s Cipla Limited","1 Tablet","10.72","1690(E)","02-May-19"
"","1000","Telmisartan +
Cilnidipine  Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Cilnidipine 10mg","M/s Swiss Garnier Genexiaa Sciences","M/s Cipla Limited","1 Tablet","7.66","1690(E)","02-May-19"
"","1001","Paracetamol + Phenylephrine +
Caffeine (Anhydrous) +
Diphenhydramine Tablet","Each uncoated tablets contains:
Paracetamol IP 500mg,
Phenylephrine HCL IP 5mg,
Caffeine (Anhydrous) IP 30mg,
Diphenhydramine HCL IP 25mg,","M/s Samson Laboratories Pvt. Ltd.","M/s Intas Pharmaceuticals Limited","1 Tablet","2.8","1690(E)","02-May-19"
"","1002","Methylcobalamin +
Pyridoxine +
Folic Acid Tablet","Each film coated tablet contains:
Methylcobalamin (Extended Release) IP 1500mcg,
Pyridoxine Hydrochloride IP 20mg,
Folic Acid IP 5mg","M/s Tirupati Medicare Ltd.","M/s Cipla Limited","1 Tablet","15","1690(E)","02-May-19"
"","1003","Olmesartan Medoxomil +
Amlodipine +
Hydrochlorothiazide Tablet (Trisertain 20)","Each film coated tablet contains:
Olmesartan Medoxomil IP 20mg,
Amlodipine Besilate IP eq. to Amlodipine 5mg,
Hydrochlorothiazide IP 12.5mg","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Dr. Reddy’s Laboratories Limited","1 Tablet","10.54","1690(E)","02-May-19"
"","1004","Olmesartan Medoxomil +
Amlodipine +
Hydrochlorothiazide Tablet (Trisertain 40)","Each film coated tablet contains:
Olmesartan Medoxomil IP 40mg,
Amlodipine Besilate IP eq. to Amlodipine 5mg,
Hydrochlorothiazide IP 12.5mg","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Dr. Reddy’s Laboratories Limited","1 Tablet","14.56","1690(E)","02-May-19"
"","1005","Olmesartan Medoxomil +
Amlodipine Tablet (Olsertain AM 40)","Each film coated tablet contains:
Olmesartan Medoxomil IP 40mg,
Amlodipine Besilate IP eq. to Amlodipine 5mg,","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Dr. Reddy’s Laboratories Limited","1 Tablet","14.45","1690(E)","02-May-19"
"","1006","Levetiracetam Tablet (Epictal)","Each film coated tablet contains:
Levetiracetam IP 1000mg","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s IPCA Laboratories Limited","1 Tablet","24.56","1690(E)","02-May-19"
"","1007","Linezolid + Dextrose Injection (ZIFI TURBO 600)","Each 100ml injection contains:
Linezolid IP 200mg
Dextrose Anhydrous IP 5mg 
water for Injection q.s.","M/s Aishwarya Lifesciences","M/s FDC Limited","Per Pack","330.79","1690(E)","02-May-19"
"","1008","Telmisartan +
Amlodipine +
Chlorthalidone  Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Amlodipine Besylate IP eq. to Amlodipine 5mg,
Chlorthalidone 6.25mg Tablets","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Zydus  Healthcare Limited","1 Tablet","9.3","1690(E)","02-May-19"
"","1009","Telmisartan +
Amlodipine +
Chlorthalidone  Tablet","Each film coated tablet contains:
Telmisartan IP 40mg,
Amlodipine Besylate IP eq. to Amlodipine 5mg,
Chlorthalidone 12.5mg Tablets","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Zydus  Healthcare Limited","1 Tablet","9.81","1690(E)","02-May-19"
"","1010","Clopidogrel +
Aspirin tablet","Each film coated tablet contains:
Clopidogrel Bisulphate IP eq. to Clopidogrel 75mg,
Aspirin 75mg","M/s Rivpra Formulation Pvt. Ltd.","M/s Cadila Pharmaceuticals Limited","1 Tablet","3.31","1690(E)","02-May-19"
"","1011","Teneligliptin + 
Metformin Tablet (TENELICAS M)","Each uncoated bilayered tablet contains:
Teneligliptin Hydrobromide Hydrate eq. to Teneligliptin 20mg
Metformin HCl  500mg (ER)","M/s Akums Drugs and Pharmaceuticals Ltd.","M/s Anthus Pharmaceuticals Pvt. Ltd.","1 Tablet","9.81","1690(E)","02-May-19"
"","1012","Tenofovir Alafenamide Tablet  (Tenocruz – AF)","Each film coated tablet contains:
Tenofovir Alafenamide Hemifumarate eq. to Tenofovir Alafenamide 25mg","M/s Hetero Labs Ltd.","M/s Torrent Pharmaceuticals Limited","1 Tablet","44.29","1690(E)","02-May-19"
"","1013","Clarithromycin tablet,
Esomeprazole Tablet,
Amoxycillin Tablet","Each Strip contains:
a. Clarithromycin tablets IP 2 tablets:
Each enteric coated tablet contains:
Clarithromycin IP 500mg
b. Esomeprazole Tablets IP 2 Tablets,
Each film coated tablet contains:
Esomeprazole Magnesium IP eq. to Esomeprazole 40mg,
c. Amoxycillin Tablets USP 2 tablets,
Each film coated tablet contains:
Amoxycillin Trihydrate IP eq. to Amoxycillin 750mg","M/s Malik Lifesciences Pvt. Ltd.","M/s Cipla Limited","Per Strip","136.8","1690(E)","02-May-19"
"","1014","Heavy Magnesium Oxide+ Vitamin C + Niacinamide + Zinc Oxide + Vitamin E + Calcium Pantothenate +Vitamin A + Cupric Oxide + Manganese Sulfate + Thiamine Mononitrate + Riboflavin + Pyridoxine Hydrochloride + Folic Acid + Chromium Picolinate + Biotin + Selenious Acid + Vitamin D3 + Methylcobalamin + L-Glutamic Acid + Dl-Methionime Tablet (One up Gold D)","Each film coated tablet contains:
Heavy Magnesium Oxide IP 30mg, 
Vitamin C IP 100mg, Niacinamide IP 50mg, 
Zinc Oxide IP Eq. to Elemental Zinc 22.5mg, 
Vitamin E Acetate IP 25IU, Calcium Pantothenate IP 12.5mg, 
Vitamin A Concentrate Powder IP 5000IU, 
Cupric Oxide eq. to Elemental Copper 2.5mg, 
Manganese Sulfate Usp eq. to Elemental Manganese 2.5mg, Thiamine Mononitrate IP 10mg, Riboflavin IP 10mg, 
Pyridoxine Hydrochloride IP 3mg, Folic Acid IP 1500mcg,
 Chromium Picolinate USP eq. to Elemental Chromium 100mcg, 
Biotin USP 60mcg, 
Selenious Acid USP eq. to Elemental Selenium 60mcg, 
Vitamin D3 IP400IU, Methylcobalamin IP 500mcg, 
L-Glutamic Acid USP 100mg, 
Dl-Methionime BP 25mg","M/s Akums Drugs and Pharmaceuticals Limited","M/s Torrent Pharmaceuticals Limited","1 Tablet","5.08","1690(E)","02-May-19"
"","1015","Darunavir +
Ritonavir Tablet (Danavir 600 R)","Each film coated tablet contains:
Darunavir Ethanolate eq. to Darunavir 600mg,
Ritonavir 100mg","M/s Hetero Labs Limited","M/s Hetero Healthcare Limited","1 Tablet","160.71","1690(E)","02-May-19"
"","1016","Alpha Lipoic + Methylcobalamin + Inositol USP + Folic Acid + Benfotiamine + Chromium Polynicotinate + Pyridoxine Hydrochloride Capsule","Each soft gelatine capsule contains:
Alpha Lipoic Acid USP 200 mg, Methylcobalamin 1500 mcg,
Inositol USP NF 100 mg, Folic Acid IP 1.5mg, Benfotiamine 150 mg, Chromium Polynicotinate 200 mcg, Pyridoxine Hydrochloride IP 3 mg","M/s Olive Healthcare","M/s Zydus Healthcare Limited","1 Capsule","15.66","1894(E)","31-May-19"
"","1017","Voveran 1ml AQ Injection","Each 1ml glass ampoule contains:
Diclofenac Sodium IP 75mg,
Water for Injection","M/s Nitin Life Sciences","M/s Novartis India Limited","Per 1ml Pack","21.92","1894(E)","31-May-19"
"","1018","Diclofenac + Thiocolchicoside Capsule","Each Hard Gelatin capsule contains:
Diclofenac Sodium IP 50mg (As Enteric coated tablet)
Thiocolchicoside 4mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Novartis India Limited","1 Capsule","12.61","1894(E)","31-May-19"
"","1019","Diclofenac + Thiocolchicoside Capsule","Each Hard Gelatin capsule contains:
Diclofenac Sodium IP 50mg (As Enteric coated tablet)
Thiocolchicoside 8mg","M/s Akums Drugs & Pharmaceuticals Ltd.","M/s Novartis India Limited","1 Capsule","18.91","1894(E)","31-May-19"
"","1020","Amoxycillin + Clavulanic Acid Tablet (UNIMOX CV 1000)","Each film coated tablet contains:
Amoxycillin Trihydrate IP eq. to Amoxycillin 875mg,
Potassium Clavulanate Diluted IP eq. to Clavulanic Acid 125mg","M/s Theon Pharmaceuticals Ltd.","M/s Macmillon Pharmaceuticals Limited","1 Tablet","30.75","1894(E)","31-May-19"
"","1021","Glimepiride  + Metformin + Voglibose Tablet","Each uncoated bilayered tablet contains:
Glimepiride IP 2mg,
Metformin Hydrochloride IP 500mg (As Sustained Release form),
Voglibose IP 0.2mg","M/s Theon Pharmaceuticals Limited","M/s Indoco Remedies Limited","1 Tablet","11.8","1894(E)","31-May-19"
"","1022","Erythropoietin + Human Albumin + Sodium Chloride + Sodium Phosphate + Sodium Dihydrogen Phosphate Monohydrate Injection (Repoitin 40000)","Each 1.0ml contains:
Erythropoietin Concentrated Solution IP 40000IU
Human Albumin IP 2.50mg,
Sodium Chloride IP 7.80mg,
Sodium Phosphate IP 2.20mg 
Sodium Dihydrogen Phosphate Monohydrate B. P. 0.96mg 
Water for Injection IP q.s.","M/s Serum Institute of India Pvt. Ltd.","M/s Serum Institute of India Pvt. Ltd.","Per Vial","6490","1894(E)","31-May-19"
"","1023","Amlodipine + Metoprolol Tablet (Amlosafe MT 25mg)","Each film coated bilayered Tablet contains:
Amlodipine Besilate eq. to Amlodipine 5mg,
Metoprolol Succinate 23.75mg eq. to Metoprolol Tartrate 25mg (As Prolonged Release)","M/s Pure & Cure Healthcare Pvt. Ltd.","M/s Aristo Pharmaceuticals Pvt. Ltd.","1 Tablet","5.51","1894(E)","31-May-19"
"","1024","Rabeprazole + Domperidone Capsule (Instek D Capsule)","Each capsule contains:
Rabeprazole Sodium IP 20mg (as enteric coated pellets),
Domperidone IP 30mg (as sustained release pellets)","M/s  Inventia Healthcare Limited","M/s  Inventia Healthcare Limited","1 Capsule","8.24","1894(E)","31-May-19"
"","1025","Pantoprazole + Domperidone Capsule (Domelong P Capsule)","Each hard gelatin capsule contains:
Pantoprazole Sodium IP (as Pantoprazole Sodium Sesquihydrate) eq. to  Pantoprazole 40mg (as Gastro-resistant pellets)
Domperidone IP 30mg (as Prolonged release pellets)","M/s  Inventia Healthcare Limited","M/s  Inventia Healthcare Limited","1 Capsule","8.007","1894(E)","31-May-19"
"","1026","Metformin + Voglibose  Tablet (Proglutrol V 0.2)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (in Sustained release form),
Voglibose IP 0.2mg","M/s Inventia Healthcare Pvt. Ltd.","M/s Inventia Healthcare Pvt. Ltd.","1 Tablet","6.76","1894(E)","31-May-19"
"","1027","Metformin + Voglibose  Tablet (Proglutrol V 0.3)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (in Sustained release form),
Voglibose IP  0.3mg","M/s Inventia Healthcare Pvt. Ltd.","M/s Inventia Healthcare Pvt. Ltd.","1 Tablet","8.56","1894(E)","31-May-19"
"","1028","Metformin + Glimepiride  Tablet (Proglutrol G1)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (in prolonged release form),
Glimepiride IP 1mg","M/s Inventia Healthcare Pvt. Ltd.","M/s Inventia Healthcare Pvt. Ltd.","1 Tablet","5.13","1894(E)","31-May-19"
"","1029","Metformin + Glimepiride  Tablet (Proglutrol G2)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 500mg (in prolonged release form),
Glimepiride IP 2mg","M/s Inventia Healthcare Pvt. Ltd.","M/s Inventia Healthcare Pvt. Ltd.","1 Tablet","6.76","1894(E)","31-May-19"
"","1030","Metformin + Glimepiride  Tablet (Proglutrol G1 Forte)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 1000mg (in prolonged release form),
Glimepiride IP 1mg","M/s Inventia Healthcare Pvt. Ltd.","M/s Inventia Healthcare Pvt. Ltd.","1 Tablet","6.47","1894(E)","31-May-19"
"","1031","Metformin + Glimepiride  Tablet (Proglutrol G2 Forte)","Each uncoated bilayered tablet contains:
Metformin Hydrochloride IP 1000mg (in prolonged release form),
Glimepiride IP 2mg","M/s Inventia Healthcare Pvt. Ltd.","M/s Inventia Healthcare Pvt. Ltd.","1 Tablet","8.75","1894(E)","31-May-19"
"","1032","Pantoprazole Sodium + Itopride Hydrochloride Capsules (PANZO-IT)","Each hard gelatine capsules contains:
Pantoprazole Sodium IP eq. to Pantoprazole 40mg (as enteric coated pellets),
Itopride Hydrochloride 150mg (as sustained release pellets)","M/s Vidhyasha Pharmaceuticals","M/s Macmillon Pharmaceuticals Limited","1 Capsule","16.72","1894(E)","31-May-19"
"","1033","Atorvastatin  Tablet (TORVASON -80)","Each film coated tablet contains:
Atorvastatin Calcium IP eq. to Atorvastatin 80mg","M/s Unison Pharmaceuticals Pvt. Ltd.","M/s Unison Pharmaceuticals Pvt. Ltd.","1 Tablet","27.54","1894(E)","31-May-19"
"","1034","Tacrolimus Ointment (MYLIMUS 0.1% 10gm)","Each gm of Ointment contains:
Tacrolimus IP 1mg (10gm pack)","M/s Alina Healthcare Pvt. Ltd.","M/s Mylan Pharmaceuticals Private Limited","1gm","30.89","2138(E)","26-Jun-19"
"","1035","Tacrolimus Ointment (MYLIMUS 0.1% 20gm)","Each gm of Ointment contains:
Tacrolimus IP 1mg (20gm pack)","M/s Alina Healthcare Pvt. Ltd.","M/s Mylan Pharmaceuticals Private Limited","1gm","30.89","2138(E)","26-Jul-19"
"","1036","Amoxycillin +Potassium Clavulanate Suspension","Each 5ml of reconstituted suspension contains:
Amoxycillin Trihydarte IP eq. to Amoxycillin 400mg,
Potassium Clavulanate Diluted IP eq. to Clavulanic acid 57mg","M/s Brooks Laboratories Ltd.","M/s Intas Pharmaceuticals Limited","1 ML","3.28","2138(E)","26-Jul-19"
